region,date,sunny_days,mean_sun_hours,total_sun_hours
dalarna,1992-10-01,4,1.7009677419354838,52.73
dalarna,1992-11-01,0,0.7293333333333333,21.88
dalarna,1992-12-01,0,1.2170430107526882,37.72833333333333
dalarna,1993-01-01,1,1.62005376344086,50.221666666666664
dalarna,1993-02-01,12,4.436369047619047,124.21833333333333
dalarna,1993-03-01,18,6.085913978494624,188.66333333333333
dalarna,1993-04-01,17,6.885166666666667,206.555
dalarna,1993-05-01,20,8.853602150537634,274.46166666666664
dalarna,1993-06-01,17,7.306222222222222,219.18666666666667
dalarna,1993-07-01,15,5.561612903225806,172.41
dalarna,1993-08-01,8,4.964731182795699,153.90666666666667
dalarna,1993-09-01,12,5.0651111111111105,151.95333333333332
dalarna,1993-10-01,10,3.1208064516129035,96.745
dalarna,1993-11-01,2,0.8912777777777777,26.738333333333333
dalarna,1993-12-01,0,1.1208602150537634,34.74666666666667
dalarna,1994-01-01,2,1.59252688172043,49.36833333333333
dalarna,1994-02-01,11,4.055714285714286,113.56
dalarna,1994-03-01,13,4.843010752688172,150.13333333333333
dalarna,1994-04-01,14,5.935555555555555,178.06666666666666
dalarna,1994-05-01,22,9.474301075268817,293.7033333333333
dalarna,1994-06-01,17,7.1898333333333335,215.695
dalarna,1994-07-01,28,12.32989247311828,382.2266666666667
dalarna,1994-08-01,19,7.999623655913979,247.98833333333334
dalarna,1994-09-01,9,3.719555555555556,111.58666666666667
dalarna,1994-10-01,9,3.7796236559139786,117.16833333333334
dalarna,1994-11-01,4,2.1127777777777776,63.38333333333333
dalarna,1994-12-01,0,1.2354301075268816,38.29833333333333
dalarna,1995-01-01,2,1.534516129032258,47.57
dalarna,1995-02-01,10,3.619166666666667,101.33666666666667
dalarna,1995-03-01,8,3.1680645161290326,98.21000000000001
dalarna,1995-04-01,12,5.1658333333333335,154.975
dalarna,1995-05-01,19,8.098870967741936,251.065
dalarna,1995-06-01,15,7.124555555555556,213.73666666666668
dalarna,1995-07-01,22,8.345698924731185,258.7166666666667
dalarna,1995-08-01,23,8.795860215053764,272.6716666666667
dalarna,1995-09-01,9,3.3346111111111107,100.03833333333333
dalarna,1995-10-01,8,3.2516129032258063,100.8
dalarna,1995-11-01,3,2.4570555555555558,73.71166666666667
dalarna,1995-12-01,0,2.0495698924731185,63.53666666666667
dalarna,1996-01-01,5,2.0286021505376346,62.88666666666667
dalarna,1996-02-01,12,4.232011494252874,122.72833333333334
dalarna,1996-03-01,18,6.01758064516129,186.545
dalarna,1996-04-01,18,7.6160555555555565,228.48166666666668
dalarna,1996-05-01,14,6.075967741935483,188.355
dalarna,1996-06-01,17,8.221222222222222,246.63666666666666
dalarna,1996-07-01,19,6.7750537634408605,210.02666666666667
dalarna,1996-08-01,23,8.69747311827957,269.62166666666667
dalarna,1996-09-01,13,5.626722222222223,168.80166666666668
dalarna,1996-10-01,7,2.554032258064516,79.175
dalarna,1996-11-01,3,1.5052777777777777,45.15833333333333
dalarna,1996-12-01,0,1.8355376344086023,56.90166666666667
dalarna,1997-01-01,2,2.299731182795699,71.29166666666667
dalarna,1997-02-01,8,3.4069642857142854,95.395
dalarna,1997-03-01,19,6.885860215053763,213.46166666666667
dalarna,1997-04-01,24,8.501111111111111,255.03333333333333
dalarna,1997-05-01,15,6.954408602150538,215.58666666666667
dalarna,1997-06-01,20,9.313944444444445,279.41833333333335
dalarna,1997-07-01,24,10.817634408602151,335.3466666666667
dalarna,1997-08-01,20,8.178010752688172,253.51833333333332
dalarna,1997-09-01,16,5.829555555555555,174.88666666666666
dalarna,1997-10-01,9,3.1614516129032255,98.005
dalarna,1997-11-01,1,1.1597777777777778,34.79333333333334
dalarna,1997-12-01,0,0.5839247311827956,18.101666666666667
dalarna,1998-01-01,4,1.8223655913978494,56.49333333333333
dalarna,1998-02-01,6,3.0109523809523813,84.30666666666667
dalarna,1998-03-01,11,4.469086021505376,138.54166666666666
dalarna,1998-04-01,11,4.477666666666667,134.33
dalarna,1998-05-01,22,8.48252688172043,262.9583333333333
dalarna,1998-06-01,12,4.7645,142.935
dalarna,1998-07-01,13,5.210376344086022,161.52166666666668
