Period;Grupp;Serie;Medel;Min;Max
2024 september;Valutor mot svenska kronor;1 NOK;0,96375;0,95643;0,97257
2024 oktober;Valutor mot svenska kronor;1 NOK;0,96727;0,96048;0,97512
2024 november;Valutor mot svenska kronor;1 NOK;0,98661;0,97086;0,99888
2024 december;Valutor mot svenska kronor;1 NOK;0,98035;0,96693;0,9954
2025 januari;Valutor mot svenska kronor;1 NOK;0,97729;0,97106;0,98274
2025 februari;Valutor mot svenska kronor;1 NOK;0,96483;0,95325;0,98013
2025 mars;Valutor mot svenska kronor;1 NOK;0,9499;0,93168;0,96287
2025 april;Valutor mot svenska kronor;1 NOK;0,92726;0,91353;0,95565
2025 maj;Valutor mot svenska kronor;1 NOK;0,93794;0,92764;0,94597
2025 juni;Valutor mot svenska kronor;1 NOK;0,94995;0,93872;0,9636
2025 juli;Valutor mot svenska kronor;1 NOK;0,94473;0,9384;0,95073
2025 augusti;Valutor mot svenska kronor;1 NOK;0,94065;0,93415;0,94783
2025 september;Valutor mot svenska kronor;1 NOK;0,94262;0,93622;0,94917
2025 oktober;Valutor mot svenska kronor;1 NOK;0,93962;0,92123;0,9466
2025 november;Valutor mot svenska kronor;1 NOK;0,93623;0,93143;0,94104
2025 december;Valutor mot svenska kronor;1 NOK;0,92062;0,91192;0,93228
2026 januari;Valutor mot svenska kronor;1 NOK;0,91545;0,91113;0,92525
2026 februari;Valutor mot svenska kronor;1 NOK;0,93951;0,92352;0,95145
2026 mars;Valutor mot svenska kronor;1 NOK;0,96383;0,95017;0,98277
2026 april;Valutor mot svenska kronor;1 NOK;0,9821;0,96687;0,99802
