Period;Grupp;Serie;Medel;Min;Max
2002 februari;Valutor mot svenska kronor;1 NOK;1,17972;1,1705;1,188
2002 mars;Valutor mot svenska kronor;1 NOK;1,1735;1,168;1,179
2002 april;Valutor mot svenska kronor;1 NOK;1,19707;1,1715;1,2225
2002 maj;Valutor mot svenska kronor;1 NOK;1,22702;1,2195;1,2365
2002 juni;Valutor mot svenska kronor;1 NOK;1,22987;1,219;1,238
2002 juli;Valutor mot svenska kronor;1 NOK;1,25143;1,219;1,28
2002 augusti;Valutor mot svenska kronor;1 NOK;1,24475;1,2335;1,261
2002 september;Valutor mot svenska kronor;1 NOK;1,24574;1,227;1,2585
2002 oktober;Valutor mot svenska kronor;1 NOK;1,24022;1,223;1,262
2002 november;Valutor mot svenska kronor;1 NOK;1,23993;1,229;1,248
2002 december;Valutor mot svenska kronor;1 NOK;1,24575;1,234;1,2595
2003 januari;Valutor mot svenska kronor;1 NOK;1,2505;1,231;1,2625
2003 februari;Valutor mot svenska kronor;1 NOK;1,21305;1,1755;1,236
2003 mars;Valutor mot svenska kronor;1 NOK;1,17617;1,1605;1,192
2003 april;Valutor mot svenska kronor;1 NOK;1,16985;1,153;1,184
2003 maj;Valutor mot svenska kronor;1 NOK;1,16208;1,151;1,1695
2003 juni;Valutor mot svenska kronor;1 NOK;1,11732;1,104;1,1575
2003 juli;Valutor mot svenska kronor;1 NOK;1,10826;1,0925;1,1235
2003 augusti;Valutor mot svenska kronor;1 NOK;1,11733;1,108;1,1315
2003 september;Valutor mot svenska kronor;1 NOK;1,10609;1,0935;1,116
2003 oktober;Valutor mot svenska kronor;1 NOK;1,09385;1,082;1,103
2003 november;Valutor mot svenska kronor;1 NOK;1,0965;1,0895;1,1055
2003 december;Valutor mot svenska kronor;1 NOK;1,09692;1,0805;1,11
2004 januari;Valutor mot svenska kronor;1 NOK;1,06328;1,0455;1,0795
2004 februari;Valutor mot svenska kronor;1 NOK;1,0459;1,0325;1,0585
2004 mars;Valutor mot svenska kronor;1 NOK;1,08113;1,0575;1,1015
2004 april;Valutor mot svenska kronor;1 NOK;1,10495;1,0935;1,1145
2004 maj;Valutor mot svenska kronor;1 NOK;1,11263;1,1015;1,1225
2004 juni;Valutor mot svenska kronor;1 NOK;1,10407;1,09;1,117
2004 juli;Valutor mot svenska kronor;1 NOK;1,08536;1,0785;1,0935
2004 augusti;Valutor mot svenska kronor;1 NOK;1,10298;1,089;1,117
2004 september;Valutor mot svenska kronor;1 NOK;1,08782;1,0745;1,099
2004 oktober;Valutor mot svenska kronor;1 NOK;1,09979;1,0835;1,11
2004 november;Valutor mot svenska kronor;1 NOK;1,10568;1,097;1,1135
2004 december;Valutor mot svenska kronor;1 NOK;1,0915;1,0845;1,0995
2005 januari;Valutor mot svenska kronor;1 NOK;1,1018;1,0915;1,1075
2005 februari;Valutor mot svenska kronor;1 NOK;1,0922;1,078;1,102
2005 mars;Valutor mot svenska kronor;1 NOK;1,1101;1,0995;1,121
2005 april;Valutor mot svenska kronor;1 NOK;1,1206;1,114;1,126
2005 maj;Valutor mot svenska kronor;1 NOK;1,13705;1,128;1,153
