Period;Grupp;Serie;Medel;Min;Max
2002 februari;Valutor mot svenska kronor;1 DKK;1,23648;1,221;1,247
2002 mars;Valutor mot svenska kronor;1 DKK;1,21895;1,2105;1,23
2002 april;Valutor mot svenska kronor;1 DKK;1,2285;1,214;1,2435
2002 maj;Valutor mot svenska kronor;1 DKK;1,24035;1,226;1,259
2002 juni;Valutor mot svenska kronor;1 DKK;1,22671;1,2175;1,238
2002 juli;Valutor mot svenska kronor;1 DKK;1,24763;1,2195;1,28
2002 augusti;Valutor mot svenska kronor;1 DKK;1,24577;1,229;1,2775
2002 september;Valutor mot svenska kronor;1 DKK;1,23512;1,2165;1,259
2002 oktober;Valutor mot svenska kronor;1 DKK;1,22557;1,2185;1,2365
2002 november;Valutor mot svenska kronor;1 DKK;1,22224;1,209;1,231
2002 december;Valutor mot svenska kronor;1 DKK;1,22444;1,2125;1,2375
2003 januari;Valutor mot svenska kronor;1 DKK;1,23474;1,2205;1,2435
2003 februari;Valutor mot svenska kronor;1 DKK;1,2311;1,2245;1,2445
2003 mars;Valutor mot svenska kronor;1 DKK;1,24169;1,2335;1,2515
2003 april;Valutor mot svenska kronor;1 DKK;1,23335;1,227;1,245
2003 maj;Valutor mot svenska kronor;1 DKK;1,23292;1,2235;1,239
2003 juni;Valutor mot svenska kronor;1 DKK;1,22755;1,2185;1,236
2003 juli;Valutor mot svenska kronor;1 DKK;1,23696;1,227;1,2505
2003 augusti;Valutor mot svenska kronor;1 DKK;1,24248;1,238;1,2495
2003 september;Valutor mot svenska kronor;1 DKK;1,22111;1,198;1,237
2003 oktober;Valutor mot svenska kronor;1 DKK;1,21263;1,202;1,2215
2003 november;Valutor mot svenska kronor;1 DKK;1,2089;1,2025;1,221
2003 december;Valutor mot svenska kronor;1 DKK;1,21166;1,1995;1,225
2004 januari;Valutor mot svenska kronor;1 DKK;1,22678;1,2165;1,2345
2004 februari;Valutor mot svenska kronor;1 DKK;1,2322;1,222;1,2405
2004 mars;Valutor mot svenska kronor;1 DKK;1,23909;1,2285;1,2455
2004 april;Valutor mot svenska kronor;1 DKK;1,23205;1,224;1,244
2004 maj;Valutor mot svenska kronor;1 DKK;1,22718;1,2215;1,2345
2004 juni;Valutor mot svenska kronor;1 DKK;1,22971;1,2215;1,235
2004 juli;Valutor mot svenska kronor;1 DKK;1,23677;1,233;1,242
2004 augusti;Valutor mot svenska kronor;1 DKK;1,23595;1,227;1,242
2004 september;Valutor mot svenska kronor;1 DKK;1,22284;1,2155;1,228
2004 oktober;Valutor mot svenska kronor;1 DKK;1,21817;1,2105;1,2245
2004 november;Valutor mot svenska kronor;1 DKK;1,21161;1,20;1,2265
2004 december;Valutor mot svenska kronor;1 DKK;1,20793;1,197;1,217
2005 januari;Valutor mot svenska kronor;1 DKK;1,21688;1,2105;1,2235
2005 februari;Valutor mot svenska kronor;1 DKK;1,22048;1,216;1,2245
2005 mars;Valutor mot svenska kronor;1 DKK;1,22019;1,213;1,227
2005 april;Valutor mot svenska kronor;1 DKK;1,23021;1,2265;1,2345
2005 maj;Valutor mot svenska kronor;1 DKK;1,23505;1,2315;1,24
2005 juni;Valutor mot svenska kronor;1 DKK;1,24365;1,227;1,267
2005 juli;Valutor mot svenska kronor;1 DKK;1,26419;1,2555;1,2715
2005 augusti;Valutor mot svenska kronor;1 DKK;1,25248;1,246;1,2595
2005 september;Valutor mot svenska kronor;1 DKK;1,25186;1,2445;1,2585
2005 oktober;Valutor mot svenska kronor;1 DKK;1,26283;1,246;1,2795
2005 november;Valutor mot svenska kronor;1 DKK;1,28245;1,271;1,293
2005 december;Valutor mot svenska kronor;1 DKK;1,266;1,2605;1,2765
2006 januari;Valutor mot svenska kronor;1 DKK;1,24886;1,2365;1,261
2006 februari;Valutor mot svenska kronor;1 DKK;1,25135;1,238;1,2685
2006 mars;Valutor mot svenska kronor;1 DKK;1,25974;1,2515;1,2695
2006 april;Valutor mot svenska kronor;1 DKK;1,25081;1,2445;1,264
2006 maj;Valutor mot svenska kronor;1 DKK;1,25219;1,243;1,2625
2006 juni;Valutor mot svenska kronor;1 DKK;1,23852;1,232;1,2455
2006 juli;Valutor mot svenska kronor;1 DKK;1,23505;1,2265;1,2425
2006 augusti;Valutor mot svenska kronor;1 DKK;1,23396;1,23;1,241
2006 september;Valutor mot svenska kronor;1 DKK;1,24286;1,23;1,2535
2006 oktober;Valutor mot svenska kronor;1 DKK;1,24141;1,2335;1,253
2006 november;Valutor mot svenska kronor;1 DKK;1,22109;1,2135;1,236
2006 december;Valutor mot svenska kronor;1 DKK;1,21237;1,2035;1,217
2007 januari;Valutor mot svenska kronor;1 DKK;1,21825;1,209;1,227
2007 februari;Valutor mot svenska kronor;1 DKK;1,23185;1,213;1,247
2007 mars;Valutor mot svenska kronor;1 DKK;1,24811;1,2425;1,254
