Period;Grupp;Serie;Medel;Min;Max
2024 oktober;Valutor mot svenska kronor;1 DKK;1,52894;1,51468;1,55907
2024 november;Valutor mot svenska kronor;1 DKK;1,55302;1,54225;1,56417
2024 december;Valutor mot svenska kronor;1 DKK;1,54244;1,53565;1,5519
2025 januari;Valutor mot svenska kronor;1 DKK;1,53872;1,53149;1,54307
2025 februari;Valutor mot svenska kronor;1 DKK;1,50785;1,49387;1,53864
2025 mars;Valutor mot svenska kronor;1 DKK;1,47025;1,44741;1,49498
2025 april;Valutor mot svenska kronor;1 DKK;1,47015;1,43681;1,49387
2025 maj;Valutor mot svenska kronor;1 DKK;1,45867;1,45124;1,46578
2025 juni;Valutor mot svenska kronor;1 DKK;1,47539;1,45478;1,49655
2025 juli;Valutor mot svenska kronor;1 DKK;1,50064;1,49341;1,51669
2025 augusti;Valutor mot svenska kronor;1 DKK;1,49535;1,48107;1,50029
2025 september;Valutor mot svenska kronor;1 DKK;1,47372;1,46177;1,48329
2025 oktober;Valutor mot svenska kronor;1 DKK;1,46892;1,45895;1,47812
2025 november;Valutor mot svenska kronor;1 DKK;1,47182;1,46433;1,47937
2025 december;Valutor mot svenska kronor;1 DKK;1,4598;1,44808;1,47103
2026 januari;Valutor mot svenska kronor;1 DKK;1,42933;1,40886;1,44704
2026 februari;Valutor mot svenska kronor;1 DKK;1,42367;1,41236;1,43166
2026 mars;Valutor mot svenska kronor;1 DKK;1,4403;1,41957;1,46434
2026 april;Valutor mot svenska kronor;1 DKK;1,4499;1,43837;1,47073
