Period;Grupp;Serie;Medel;Min;Max
2025 juni;Valutor mot svenska kronor;1 USD;9,55273;9,43203;9,73108
2025 juli;Valutor mot svenska kronor;1 USD;9,59089;9,44877;9,76855
2025 augusti;Valutor mot svenska kronor;1 USD;9,59589;9,48276;9,81805
2025 september;Valutor mot svenska kronor;1 USD;9,37643;9,25764;9,46038
2025 oktober;Valutor mot svenska kronor;1 USD;9,43225;9,36064;9,55423
2025 november;Valutor mot svenska kronor;1 USD;9,50815;9,41604;9,5871
2025 december;Valutor mot svenska kronor;1 USD;9,31823;9,18038;9,4597
2026 januari;Valutor mot svenska kronor;1 USD;9,09636;8,82666;9,24811
2026 februari;Valutor mot svenska kronor;1 USD;8,99473;8,87731;9,09683
2026 mars;Valutor mot svenska kronor;1 USD;9,31101;9,1109;9,51731
2026 april;Valutor mot svenska kronor;1 USD;9,25606;9,13529;9,50939
