Period;Grupp;Serie;Medel;Min;Max
2002 april;Valutor mot svenska kronor;1 USD;10,31048;10,22;10,3825
2002 maj;Valutor mot svenska kronor;1 USD;10,05188;9,725;10,27
2002 juni;Valutor mot svenska kronor;1 USD;9,55908;9,1625;9,7775
2002 juli;Valutor mot svenska kronor;1 USD;9,34;9,1275;9,6075
2002 augusti;Valutor mot svenska kronor;1 USD;9,46409;9,29;9,73
2002 september;Valutor mot svenska kronor;1 USD;9,35036;9,2125;9,44
2002 oktober;Valutor mot svenska kronor;1 USD;9,27935;9,195;9,3925
2002 november;Valutor mot svenska kronor;1 USD;9,06548;8,955;9,1625
2002 december;Valutor mot svenska kronor;1 USD;8,94583;8,805;9,075
2003 januari;Valutor mot svenska kronor;1 USD;8,63857;8,4975;8,80
2003 februari;Valutor mot svenska kronor;1 USD;8,49302;8,4225;8,638
2003 mars;Valutor mot svenska kronor;1 USD;8,52976;8,3775;8,675
2003 april;Valutor mot svenska kronor;1 USD;8,437;8,195;8,67
2003 maj;Valutor mot svenska kronor;1 USD;7,92288;7,71;8,115
2003 juni;Valutor mot svenska kronor;1 USD;7,81079;7,6575;8,0275
2003 juli;Valutor mot svenska kronor;1 USD;8,08065;7,965;8,25
2003 augusti;Valutor mot svenska kronor;1 USD;8,2825;8,065;8,54
2003 september;Valutor mot svenska kronor;1 USD;8,08614;7,6625;8,4925
2003 oktober;Valutor mot svenska kronor;1 USD;7,69663;7,5825;7,7775
2003 november;Valutor mot svenska kronor;1 USD;7,68312;7,5225;7,89
2003 december;Valutor mot svenska kronor;1 USD;7,36316;7,275;7,53
2004 januari;Valutor mot svenska kronor;1 USD;7,24925;7,075;7,4175
2004 februari;Valutor mot svenska kronor;1 USD;7,25988;7,1275;7,415
2004 mars;Valutor mot svenska kronor;1 USD;7,52435;7,365;7,6625
2004 april;Valutor mot svenska kronor;1 USD;7,65012;7,485;7,7475
2004 maj;Valutor mot svenska kronor;1 USD;7,60605;7,41;7,75
2004 juni;Valutor mot svenska kronor;1 USD;7,53321;7,3875;7,665
2004 juli;Valutor mot svenska kronor;1 USD;7,49307;7,3975;7,6625
2004 augusti;Valutor mot svenska kronor;1 USD;7,54443;7,4475;7,6625
2004 september;Valutor mot svenska kronor;1 USD;7,44841;7,355;7,565
2004 oktober;Valutor mot svenska kronor;1 USD;7,25571;7,0675;7,3725
2004 november;Valutor mot svenska kronor;1 USD;6,93898;6,725;7,1375
2004 december;Valutor mot svenska kronor;1 USD;6,70298;6,5825;6,8275
2005 januari;Valutor mot svenska kronor;1 USD;6,89962;6,6625;6,9925
2005 februari;Valutor mot svenska kronor;1 USD;6,97775;6,8225;7,1175
2005 mars;Valutor mot svenska kronor;1 USD;6,87548;6,74;7,06
2005 april;Valutor mot svenska kronor;1 USD;7,07964;7,0175;7,165
2005 maj;Valutor mot svenska kronor;1 USD;7,24821;7,08;7,3975
2005 juni;Valutor mot svenska kronor;1 USD;7,60788;7,4225;7,8275
2005 juli;Valutor mot svenska kronor;1 USD;7,8281;7,6975;7,9575
