Period;Grupp;Serie;Medel;Min;Max
2025 januari;Valutor mot svenska kronor;1 EUR;11,4804;11,4223;11,5125
2025 februari;Valutor mot svenska kronor;1 EUR;11,24739;11,1425;11,481
2025 mars;Valutor mot svenska kronor;1 EUR;10,96751;10,7975;11,15
2025 april;Valutor mot svenska kronor;1 EUR;10,97442;10,7205;11,155
2025 maj;Valutor mot svenska kronor;1 EUR;10,88175;10,8255;10,9375
2025 juni;Valutor mot svenska kronor;1 EUR;11,00599;10,8535;11,1635
2025 juli;Valutor mot svenska kronor;1 EUR;11,19852;11,1435;11,3195
2025 augusti;Valutor mot svenska kronor;1 EUR;11,16095;11,055;11,1965
2025 september;Valutor mot svenska kronor;1 EUR;11,00039;10,9115;11,0705
2025 oktober;Valutor mot svenska kronor;1 EUR;10,96993;10,896;11,038
2025 november;Valutor mot svenska kronor;1 EUR;10,99145;10,935;11,048
2025 december;Valutor mot svenska kronor;1 EUR;10,90421;10,816;10,9865
2026 januari;Valutor mot svenska kronor;1 EUR;10,67732;10,5205;10,8085
2026 februari;Valutor mot svenska kronor;1 EUR;10,63508;10,5485;10,6955
2026 mars;Valutor mot svenska kronor;1 EUR;10,76143;10,606;10,943
2026 april;Valutor mot svenska kronor;1 EUR;10,8348;10,7495;10,99
