Period;Grupp;Serie;Medel;Min;Max
2002 mars;Valutor mot svenska kronor;1 EUR;9,06;8,998;9,142
2002 april;Valutor mot svenska kronor;1 EUR;9,13307;9,0235;9,2445
2002 maj;Valutor mot svenska kronor;1 EUR;9,22355;9,118;9,36
2002 juni;Valutor mot svenska kronor;1 EUR;9,11903;9,0455;9,209
2002 juli;Valutor mot svenska kronor;1 EUR;9,27052;9,061;9,515
2002 augusti;Valutor mot svenska kronor;1 EUR;9,25243;9,1255;9,49
2002 september;Valutor mot svenska kronor;1 EUR;9,17348;9,0385;9,3515
2002 oktober;Valutor mot svenska kronor;1 EUR;9,10528;9,0505;9,1855
2002 november;Valutor mot svenska kronor;1 EUR;9,0785;8,9765;9,1495
2002 december;Valutor mot svenska kronor;1 EUR;9,09308;9,004;9,1925
2003 januari;Valutor mot svenska kronor;1 EUR;9,17755;9,067;9,248
2003 februari;Valutor mot svenska kronor;1 EUR;9,14988;9,094;9,2545
2003 mars;Valutor mot svenska kronor;1 EUR;9,22214;9,164;9,2955
2003 april;Valutor mot svenska kronor;1 EUR;9,15848;9,1085;9,245
2003 maj;Valutor mot svenska kronor;1 EUR;9,15412;9,086;9,1985
2003 juni;Valutor mot svenska kronor;1 EUR;9,11487;9,0475;9,1785
2003 juli;Valutor mot svenska kronor;1 EUR;9,19454;9,1255;9,2965
2003 augusti;Valutor mot svenska kronor;1 EUR;9,23495;9,203;9,2885
2003 september;Valutor mot svenska kronor;1 EUR;9,06927;8,899;9,19
2003 oktober;Valutor mot svenska kronor;1 EUR;9,00987;8,9305;9,076
2003 november;Valutor mot svenska kronor;1 EUR;8,9908;8,9445;9,076
2003 december;Valutor mot svenska kronor;1 EUR;9,01687;8,928;9,1165
2004 januari;Valutor mot svenska kronor;1 EUR;9,13725;9,057;9,194
2004 februari;Valutor mot svenska kronor;1 EUR;9,18138;9,106;9,2415
2004 mars;Valutor mot svenska kronor;1 EUR;9,23052;9,1565;9,273
2004 april;Valutor mot svenska kronor;1 EUR;9,1711;9,109;9,2615
2004 maj;Valutor mot svenska kronor;1 EUR;9,13121;9,0865;9,1855
2004 juni;Valutor mot svenska kronor;1 EUR;9,14224;9,085;9,1805
2004 juli;Valutor mot svenska kronor;1 EUR;9,19541;9,166;9,2325
2004 augusti;Valutor mot svenska kronor;1 EUR;9,19118;9,125;9,2365
2004 september;Valutor mot svenska kronor;1 EUR;9,09536;9,043;9,132
2004 oktober;Valutor mot svenska kronor;1 EUR;9,06095;9,009;9,11
2004 november;Valutor mot svenska kronor;1 EUR;9,00357;8,913;9,115
2004 december;Valutor mot svenska kronor;1 EUR;8,9786;8,892;9,043
2005 januari;Valutor mot svenska kronor;1 EUR;9,05375;9,004;9,105
2005 februari;Valutor mot svenska kronor;1 EUR;9,08388;9,0475;9,116
2005 mars;Valutor mot svenska kronor;1 EUR;9,08605;9,032;9,1395
2005 april;Valutor mot svenska kronor;1 EUR;9,16495;9,1345;9,201
2005 maj;Valutor mot svenska kronor;1 EUR;9,19424;9,164;9,23
2005 juni;Valutor mot svenska kronor;1 EUR;9,25848;9,1285;9,4385
2005 juli;Valutor mot svenska kronor;1 EUR;9,42836;9,365;9,477
2005 augusti;Valutor mot svenska kronor;1 EUR;9,34263;9,297;9,397
2005 september;Valutor mot svenska kronor;1 EUR;9,33666;9,2815;9,391
2005 oktober;Valutor mot svenska kronor;1 EUR;9,42312;9,2985;9,5465
2005 november;Valutor mot svenska kronor;1 EUR;9,56632;9,476;9,649
2005 december;Valutor mot svenska kronor;1 EUR;9,43719;9,394;9,5135
2006 januari;Valutor mot svenska kronor;1 EUR;9,31802;9,2285;9,41
2006 februari;Valutor mot svenska kronor;1 EUR;9,34048;9,2405;9,463
2006 mars;Valutor mot svenska kronor;1 EUR;9,39839;9,337;9,4675
2006 april;Valutor mot svenska kronor;1 EUR;9,33297;9,284;9,432
2006 maj;Valutor mot svenska kronor;1 EUR;9,33617;9,269;9,4115
2006 juni;Valutor mot svenska kronor;1 EUR;9,23482;9,189;9,287
2006 juli;Valutor mot svenska kronor;1 EUR;9,21388;9,1505;9,27
2006 augusti;Valutor mot svenska kronor;1 EUR;9,20648;9,176;9,258
2006 september;Valutor mot svenska kronor;1 EUR;9,27188;9,176;9,3525
2006 oktober;Valutor mot svenska kronor;1 EUR;9,25532;9,195;9,3425
2006 november;Valutor mot svenska kronor;1 EUR;9,10441;9,0495;9,212
2006 december;Valutor mot svenska kronor;1 EUR;9,03771;8,97;9,071
2007 januari;Valutor mot svenska kronor;1 EUR;9,08032;9,0145;9,146
2007 februari;Valutor mot svenska kronor;1 EUR;9,18222;9,044;9,2965
2007 mars;Valutor mot svenska kronor;1 EUR;9,29757;9,2555;9,3425
2007 april;Valutor mot svenska kronor;1 EUR;9,24163;9,1375;9,374
2007 maj;Valutor mot svenska kronor;1 EUR;9,20348;9,14;9,30
2007 juni;Valutor mot svenska kronor;1 EUR;9,33529;9,2435;9,4375
2007 juli;Valutor mot svenska kronor;1 EUR;9,18659;9,1525;9,2585
2007 augusti;Valutor mot svenska kronor;1 EUR;9,3205;9,207;9,406
2007 september;Valutor mot svenska kronor;1 EUR;9,2907;9,185;9,3995
2007 oktober;Valutor mot svenska kronor;1 EUR;9,1768;9,1025;9,2175
2007 november;Valutor mot svenska kronor;1 EUR;9,28448;9,2045;9,3885
2007 december;Valutor mot svenska kronor;1 EUR;9,42394;9,3555;9,4735
2008 januari;Valutor mot svenska kronor;1 EUR;9,43218;9,366;9,527
2008 februari;Valutor mot svenska kronor;1 EUR;9,36636;9,298;9,4675
2008 mars;Valutor mot svenska kronor;1 EUR;9,40434;9,347;9,482
2008 april;Valutor mot svenska kronor;1 EUR;9,37341;9,323;9,421
2008 maj;Valutor mot svenska kronor;1 EUR;9,31645;9,271;9,357
2008 juni;Valutor mot svenska kronor;1 EUR;9,37418;9,322;9,453
2008 juli;Valutor mot svenska kronor;1 EUR;9,46037;9,392;9,517
2008 augusti;Valutor mot svenska kronor;1 EUR;9,39655;9,3525;9,4775
2008 september;Valutor mot svenska kronor;1 EUR;9,55898;9,451;9,763
2008 oktober;Valutor mot svenska kronor;1 EUR;9,84354;9,6255;10,1205
2008 november;Valutor mot svenska kronor;1 EUR;10,12335;9,842;10,4615
2008 december;Valutor mot svenska kronor;1 EUR;10,71832;10,2815;11,1085
2009 januari;Valutor mot svenska kronor;1 EUR;10,74002;10,4515;11,14
2009 februari;Valutor mot svenska kronor;1 EUR;10,90025;10,501;11,458
2009 mars;Valutor mot svenska kronor;1 EUR;11,16993;10,7975;11,6465
2009 april;Valutor mot svenska kronor;1 EUR;10,88295;10,663;11,201
2009 maj;Valutor mot svenska kronor;1 EUR;10,58024;10,404;10,767
2009 juni;Valutor mot svenska kronor;1 EUR;10,87657;10,6055;11,1285
2009 juli;Valutor mot svenska kronor;1 EUR;10,8373;10,3975;11,0865
2009 augusti;Valutor mot svenska kronor;1 EUR;10,21693;10,057;10,3465
2009 september;Valutor mot svenska kronor;1 EUR;10,19775;10,0775;10,3415
2009 oktober;Valutor mot svenska kronor;1 EUR;10,30343;10,1605;10,4145
2009 november;Valutor mot svenska kronor;1 EUR;10,3319;10,199;10,49
2009 december;Valutor mot svenska kronor;1 EUR;10,42498;10,3145;10,4945
2010 januari;Valutor mot svenska kronor;1 EUR;10,19476;10,1145;10,2735
2010 februari;Valutor mot svenska kronor;1 EUR;9,95595;9,7315;10,22
2010 mars;Valutor mot svenska kronor;1 EUR;9,72657;9,663;9,807
2010 april;Valutor mot svenska kronor;1 EUR;9,66985;9,5815;9,7735
2010 maj;Valutor mot svenska kronor;1 EUR;9,67738;9,5575;9,8595
2010 juni;Valutor mot svenska kronor;1 EUR;9,56817;9,5005;9,6415
2010 juli;Valutor mot svenska kronor;1 EUR;9,49893;9,4105;9,635
2010 augusti;Valutor mot svenska kronor;1 EUR;9,42491;9,3645;9,515
2010 september;Valutor mot svenska kronor;1 EUR;9,2278;9,121;9,356
2010 oktober;Valutor mot svenska kronor;1 EUR;9,27171;9,157;9,3985
2010 november;Valutor mot svenska kronor;1 EUR;9,32266;9,1835;9,4155
2010 december;Valutor mot svenska kronor;1 EUR;9,0664;8,963;9,1665
2011 januari;Valutor mot svenska kronor;1 EUR;8,91832;8,8375;8,9905
2011 februari;Valutor mot svenska kronor;1 EUR;8,79428;8,717;8,8745
2011 mars;Valutor mot svenska kronor;1 EUR;8,8897;8,7095;9,0155
2011 april;Valutor mot svenska kronor;1 EUR;8,97695;8,9035;9,077
2011 maj;Valutor mot svenska kronor;1 EUR;8,956;8,883;9,028
2011 juni;Valutor mot svenska kronor;1 EUR;9,11862;8,881;9,2395
2011 juli;Valutor mot svenska kronor;1 EUR;9,1341;9,0529;9,2563
2011 augusti;Valutor mot svenska kronor;1 EUR;9,17392;9,0015;9,2877
2011 september;Valutor mot svenska kronor;1 EUR;9,14077;8,9139;9,3006
2011 oktober;Valutor mot svenska kronor;1 EUR;9,11574;9,0135;9,2071
2011 november;Valutor mot svenska kronor;1 EUR;9,14185;9,0374;9,2676
2011 december;Valutor mot svenska kronor;1 EUR;9,02193;8,9417;9,1285
2012 januari;Valutor mot svenska kronor;1 EUR;8,84644;8,7729;8,9207
2012 februari;Valutor mot svenska kronor;1 EUR;8,82358;8,7848;8,8755
2012 mars;Valutor mot svenska kronor;1 EUR;8,88797;8,8116;8,9369
2012 april;Valutor mot svenska kronor;1 EUR;8,86211;8,7929;8,908
2012 maj;Valutor mot svenska kronor;1 EUR;8,99614;8,8721;9,1575
2012 juni;Valutor mot svenska kronor;1 EUR;8,87722;8,766;9,0127
2012 juli;Valutor mot svenska kronor;1 EUR;8,55644;8,346;8,7614
2012 augusti;Valutor mot svenska kronor;1 EUR;8,2872;8,2065;8,3661
2012 september;Valutor mot svenska kronor;1 EUR;8,50306;8,3922;8,6334
2012 oktober;Valutor mot svenska kronor;1 EUR;8,61369;8,4608;8,6914
2012 november;Valutor mot svenska kronor;1 EUR;8,60915;8,5379;8,663
2012 december;Valutor mot svenska kronor;1 EUR;8,66588;8,6091;8,7671
2013 januari;Valutor mot svenska kronor;1 EUR;8,62286;8,5182;8,6994
2013 februari;Valutor mot svenska kronor;1 EUR;8,50962;8,4259;8,614
2013 mars;Valutor mot svenska kronor;1 EUR;8,34622;8,2876;8,4257
2013 april;Valutor mot svenska kronor;1 EUR;8,44752;8,3149;8,6169
2013 maj;Valutor mot svenska kronor;1 EUR;8,58089;8,5378;8,6336
2013 juni;Valutor mot svenska kronor;1 EUR;8,67958;8,5581;8,8399
2013 juli;Valutor mot svenska kronor;1 EUR;8,66007;8,527;8,7731
2013 augusti;Valutor mot svenska kronor;1 EUR;8,69998;8,6244;8,7592
2013 september;Valutor mot svenska kronor;1 EUR;8,67528;8,5709;8,7449
2013 oktober;Valutor mot svenska kronor;1 EUR;8,743;8,6261;8,8025
2013 november;Valutor mot svenska kronor;1 EUR;8,88456;8,7774;8,9637
2013 december;Valutor mot svenska kronor;1 EUR;8,95951;8,8419;9,097
2014 januari;Valutor mot svenska kronor;1 EUR;8,83375;8,7704;8,9376
2014 februari;Valutor mot svenska kronor;1 EUR;8,87163;8,7741;8,9981
2014 mars;Valutor mot svenska kronor;1 EUR;8,86567;8,8232;8,9482
2014 april;Valutor mot svenska kronor;1 EUR;9,03191;8,8933;9,1137
2014 maj;Valutor mot svenska kronor;1 EUR;9,03109;8,9843;9,0705
2014 juni;Valutor mot svenska kronor;1 EUR;9,08675;8,995;9,1965
2014 juli;Valutor mot svenska kronor;1 EUR;9,23365;9,1478;9,3156
2014 augusti;Valutor mot svenska kronor;1 EUR;9,19043;9,1485;9,2549
2014 september;Valutor mot svenska kronor;1 EUR;9,19658;9,1552;9,2549
2014 oktober;Valutor mot svenska kronor;1 EUR;9,17349;9,0791;9,3492
2014 november;Valutor mot svenska kronor;1 EUR;9,24993;9,2067;9,2827
2014 december;Valutor mot svenska kronor;1 EUR;9,38832;9,2623;9,5263
2015 januari;Valutor mot svenska kronor;1 EUR;9,42621;9,2948;9,54
2015 februari;Valutor mot svenska kronor;1 EUR;9,48624;9,3468;9,6286
2015 mars;Valutor mot svenska kronor;1 EUR;9,24058;9,0732;9,3437
2015 april;Valutor mot svenska kronor;1 EUR;9,32694;9,2506;9,3888
2015 maj;Valutor mot svenska kronor;1 EUR;9,29211;9,2263;9,3825
2015 juni;Valutor mot svenska kronor;1 EUR;9,28089;9,1827;9,3873
2015 juli;Valutor mot svenska kronor;1 EUR;9,37979;9,2244;9,4923
2015 augusti;Valutor mot svenska kronor;1 EUR;9,52052;9,4304;9,6418
2015 september;Valutor mot svenska kronor;1 EUR;9,40101;9,3248;9,5338
2015 oktober;Valutor mot svenska kronor;1 EUR;9,34828;9,2665;9,4316
2015 november;Valutor mot svenska kronor;1 EUR;9,32144;9,245;9,4007
2015 december;Valutor mot svenska kronor;1 EUR;9,24904;9,135;9,3286
2016 januari;Valutor mot svenska kronor;1 EUR;9,28045;9,1981;9,3587
2016 februari;Valutor mot svenska kronor;1 EUR;9,4033;9,2923;9,5223
2016 mars;Valutor mot svenska kronor;1 EUR;9,28651;9,213;9,3609
2016 april;Valutor mot svenska kronor;1 EUR;9,20725;9,1467;9,2901
2016 maj;Valutor mot svenska kronor;1 EUR;9,28985;9,1698;9,3652
2016 juni;Valutor mot svenska kronor;1 EUR;9,3276;9,2288;9,423
2016 juli;Valutor mot svenska kronor;1 EUR;9,47149;9,3951;9,5594
2016 augusti;Valutor mot svenska kronor;1 EUR;9,4934;9,4289;9,5907
2016 september;Valutor mot svenska kronor;1 EUR;9,56656;9,4888;9,632
2016 oktober;Valutor mot svenska kronor;1 EUR;9,69923;9,5991;9,8694
2016 november;Valutor mot svenska kronor;1 EUR;9,85036;9,7497;9,9826
2016 december;Valutor mot svenska kronor;1 EUR;9,71863;9,5669;9,827
2017 januari;Valutor mot svenska kronor;1 EUR;9,51386;9,4479;9,5731
2017 februari;Valutor mot svenska kronor;1 EUR;9,4706;9,4146;9,5709
2017 mars;Valutor mot svenska kronor;1 EUR;9,53107;9,486;9,5855
2017 april;Valutor mot svenska kronor;1 EUR;9,59029;9,5138;9,6348
2017 maj;Valutor mot svenska kronor;1 EUR;9,70013;9,6232;9,7686
2017 juni;Valutor mot svenska kronor;1 EUR;9,75506;9,6734;9,7852
2017 juli;Valutor mot svenska kronor;1 EUR;9,58989;9,5189;9,6654
2017 augusti;Valutor mot svenska kronor;1 EUR;9,54795;9,48;9,6102
2017 september;Valutor mot svenska kronor;1 EUR;9,53051;9,4671;9,5789
2017 oktober;Valutor mot svenska kronor;1 EUR;9,60663;9,5284;9,7287
2017 november;Valutor mot svenska kronor;1 EUR;9,84472;9,7223;10,012
2017 december;Valutor mot svenska kronor;1 EUR;9,94073;9,8397;9,9942
2018 januari;Valutor mot svenska kronor;1 EUR;9,81283;9,757;9,8459
2018 februari;Valutor mot svenska kronor;1 EUR;9,92678;9,7936;10,0752
2018 mars;Valutor mot svenska kronor;1 EUR;10,15825;10,0806;10,2931
2018 april;Valutor mot svenska kronor;1 EUR;10,37205;10,2759;10,5117
2018 maj;Valutor mot svenska kronor;1 EUR;10,3526;10,2183;10,6667
2018 juni;Valutor mot svenska kronor;1 EUR;10,27479;10,1296;10,4213
2018 juli;Valutor mot svenska kronor;1 EUR;10,30931;10,2251;10,4591
2018 augusti;Valutor mot svenska kronor;1 EUR;10,46299;10,2774;10,6978
2018 september;Valutor mot svenska kronor;1 EUR;10,44414;10,2945;10,6048
2018 oktober;Valutor mot svenska kronor;1 EUR;10,382;10,304;10,4539
2018 november;Valutor mot svenska kronor;1 EUR;10,29601;10,2511;10,3431
2018 december;Valutor mot svenska kronor;1 EUR;10,27872;10,1952;10,3281
2019 januari;Valutor mot svenska kronor;1 EUR;10,26549;10,1874;10,3808
2019 februari;Valutor mot svenska kronor;1 EUR;10,49638;10,3573;10,5981
2019 mars;Valutor mot svenska kronor;1 EUR;10,50114;10,4221;10,6208
2019 april;Valutor mot svenska kronor;1 EUR;10,47706;10,3932;10,6377
2019 maj;Valutor mot svenska kronor;1 EUR;10,74384;10,6376;10,8465
2019 juni;Valutor mot svenska kronor;1 EUR;10,62877;10,5371;10,7075
2019 juli;Valutor mot svenska kronor;1 EUR;10,5585;10,5018;10,6671
2019 augusti;Valutor mot svenska kronor;1 EUR;10,72882;10,6706;10,8078
2019 september;Valutor mot svenska kronor;1 EUR;10,69925;10,6323;10,8095
2019 oktober;Valutor mot svenska kronor;1 EUR;10,80031;10,6746;10,9056
2019 november;Valutor mot svenska kronor;1 EUR;10,65338;10,5137;10,7356
2019 december;Valutor mot svenska kronor;1 EUR;10,49065;10,4336;10,5773
2020 januari;Valutor mot svenska kronor;1 EUR;10,55423;10,4625;10,6529
2020 februari;Valutor mot svenska kronor;1 EUR;10,57182;10,4941;10,6701
2020 mars;Valutor mot svenska kronor;1 EUR;10,85466;10,5499;11,2265
2020 april;Valutor mot svenska kronor;1 EUR;10,88606;10,6994;10,9627
2020 maj;Valutor mot svenska kronor;1 EUR;10,60936;10,517;10,833
2020 juni;Valutor mot svenska kronor;1 EUR;10,47522;10,3872;10,558
2020 juli;Valutor mot svenska kronor;1 EUR;10,36235;10,2392;10,5172
2020 augusti;Valutor mot svenska kronor;1 EUR;10,30706;10,2617;10,365
2020 september;Valutor mot svenska kronor;1 EUR;10,42152;10,3155;10,6204
2020 oktober;Valutor mot svenska kronor;1 EUR;10,39997;10,3117;10,5123
2020 november;Valutor mot svenska kronor;1 EUR;10,23308;10,1553;10,3841
2020 december;Valutor mot svenska kronor;1 EUR;10,18743;10,0375;10,2823
2021 januari;Valutor mot svenska kronor;1 EUR;10,09465;10,0516;10,1476
2021 februari;Valutor mot svenska kronor;1 EUR;10,08326;10,0264;10,1473
2021 mars;Valutor mot svenska kronor;1 EUR;10,16652;10,0996;10,2376
2021 april;Valutor mot svenska kronor;1 EUR;10,1594;10,1039;10,2809
2021 maj;Valutor mot svenska kronor;1 EUR;10,14263;10,1028;10,1921
2021 juni;Valutor mot svenska kronor;1 EUR;10,1153;10,0441;10,2362
2021 juli;Valutor mot svenska kronor;1 EUR;10,19908;10,1343;10,2665
2021 augusti;Valutor mot svenska kronor;1 EUR;10,21442;10,1599;10,3054
2021 september;Valutor mot svenska kronor;1 EUR;10,17181;10,1361;10,2058
2021 oktober;Valutor mot svenska kronor;1 EUR;10,06216;9,9449;10,1708
2021 november;Valutor mot svenska kronor;1 EUR;10,04548;9,8888;10,3233
2021 december;Valutor mot svenska kronor;1 EUR;10,272;10,2212;10,3425
2022 januari;Valutor mot svenska kronor;1 EUR;10,34931;10,2262;10,4991
2022 februari;Valutor mot svenska kronor;1 EUR;10,54224;10,4035;10,7013
2022 mars;Valutor mot svenska kronor;1 EUR;10,5514;10,3384;10,8561
2022 april;Valutor mot svenska kronor;1 EUR;10,32574;10,2482;10,4582
2022 maj;Valutor mot svenska kronor;1 EUR;10,49093;10,3455;10,6236
2022 juni;Valutor mot svenska kronor;1 EUR;10,59667;10,4231;10,7014
2022 juli;Valutor mot svenska kronor;1 EUR;10,5804;10,3783;10,7802
2022 augusti;Valutor mot svenska kronor;1 EUR;10,50529;10,357;10,6823
2022 september;Valutor mot svenska kronor;1 EUR;10,78115;10,611;10,9576
2022 oktober;Valutor mot svenska kronor;1 EUR;10,94724;10,78;11,0607
2022 november;Valutor mot svenska kronor;1 EUR;10,87718;10,7388;10,9874
2022 december;Valutor mot svenska kronor;1 EUR;10,98113;10,8568;11,1432
2023 januari;Valutor mot svenska kronor;1 EUR;11,19215;11,0995;11,2927
