﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Östersund-Frösön Flygplats;134110;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1944-02-01 00:00:00;1970-01-18 23:59:59;360.0;63.1974;14.4863
1970-02-01 00:00:00;2026-05-01 14:20:59;375.8;63.1981;14.4869

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1965-03-01 00:00:01;1965-04-01 00:00:00;1965-03;-3.2;Y
1965-04-01 00:00:01;1965-05-01 00:00:00;1965-04;2.5;Y
1965-05-01 00:00:01;1965-06-01 00:00:00;1965-05;5.5;Y
1965-06-01 00:00:01;1965-07-01 00:00:00;1965-06;11.4;Y
1965-07-01 00:00:01;1965-08-01 00:00:00;1965-07;11.8;Y
1965-08-01 00:00:01;1965-09-01 00:00:00;1965-08;11.0;Y
1965-09-01 00:00:01;1965-10-01 00:00:00;1965-09;9.7;Y
1965-10-01 00:00:01;1965-11-01 00:00:00;1965-10;5.1;Y
1965-11-01 00:00:01;1965-12-01 00:00:00;1965-11;-5.4;Y
1965-12-01 00:00:01;1966-01-01 00:00:00;1965-12;-12.8;Y
1966-01-01 00:00:01;1966-02-01 00:00:00;1966-01;-15.4;Y
1966-02-01 00:00:01;1966-03-01 00:00:00;1966-02;-17.1;Y
1966-03-01 00:00:01;1966-04-01 00:00:00;1966-03;-5.7;Y
1966-04-01 00:00:01;1966-05-01 00:00:00;1966-04;-2.0;Y
1966-05-01 00:00:01;1966-06-01 00:00:00;1966-05;6.3;Y
1966-06-01 00:00:01;1966-07-01 00:00:00;1966-06;14.7;Y
1966-07-01 00:00:01;1966-08-01 00:00:00;1966-07;13.3;Y
1966-08-01 00:00:01;1966-09-01 00:00:00;1966-08;11.7;Y
1966-09-01 00:00:01;1966-10-01 00:00:00;1966-09;6.8;Y
1966-10-01 00:00:01;1966-11-01 00:00:00;1966-10;3.3;Y
1966-11-01 00:00:01;1966-12-01 00:00:00;1966-11;-1.5;Y
1966-12-01 00:00:01;1967-01-01 00:00:00;1966-12;-5.4;Y
1967-01-01 00:00:01;1967-02-01 00:00:00;1967-01;-11.6;Y
1967-02-01 00:00:01;1967-03-01 00:00:00;1967-02;-3.9;Y
1967-03-01 00:00:01;1967-04-01 00:00:00;1967-03;-0.3;Y
1967-04-01 00:00:01;1967-05-01 00:00:00;1967-04;0.7;Y
1967-05-01 00:00:01;1967-06-01 00:00:00;1967-05;6.0;Y
1967-06-01 00:00:01;1967-07-01 00:00:00;1967-06;10.5;Y
1967-07-01 00:00:01;1967-08-01 00:00:00;1967-07;13.2;Y
1967-08-01 00:00:01;1967-09-01 00:00:00;1967-08;12.8;Y
1967-09-01 00:00:01;1967-10-01 00:00:00;1967-09;10.0;Y
1967-10-01 00:00:01;1967-11-01 00:00:00;1967-10;4.1;Y
1967-11-01 00:00:01;1967-12-01 00:00:00;1967-11;1.2;Y
1967-12-01 00:00:01;1968-01-01 00:00:00;1967-12;-9.6;Y
1968-01-01 00:00:01;1968-02-01 00:00:00;1968-01;-10.6;Y
1968-02-01 00:00:01;1968-03-01 00:00:00;1968-02;-7.6;Y
1968-03-01 00:00:01;1968-04-01 00:00:00;1968-03;-2.0;Y
1968-04-01 00:00:01;1968-05-01 00:00:00;1968-04;2.2;Y
1968-05-01 00:00:01;1968-06-01 00:00:00;1968-05;4.4;Y
1968-06-01 00:00:01;1968-07-01 00:00:00;1968-06;13.0;Y
1968-07-01 00:00:01;1968-08-01 00:00:00;1968-07;13.2;Y
1968-08-01 00:00:01;1968-09-01 00:00:00;1968-08;12.5;Y
1968-09-01 00:00:01;1968-10-01 00:00:00;1968-09;7.9;Y
1968-10-01 00:00:01;1968-11-01 00:00:00;1968-10;0.6;Y
1968-11-01 00:00:01;1968-12-01 00:00:00;1968-11;-8.3;Y
1968-12-01 00:00:01;1969-01-01 00:00:00;1968-12;-5.9;Y
1969-01-01 00:00:01;1969-02-01 00:00:00;1969-01;-8.0;Y
1969-02-01 00:00:01;1969-03-01 00:00:00;1969-02;-12.8;Y
1969-03-01 00:00:01;1969-04-01 00:00:00;1969-03;-6.6;Y
1969-04-01 00:00:01;1969-05-01 00:00:00;1969-04;1.7;Y
1969-05-01 00:00:01;1969-06-01 00:00:00;1969-05;6.6;Y
1969-06-01 00:00:01;1969-07-01 00:00:00;1969-06;14.2;Y
1969-07-01 00:00:01;1969-08-01 00:00:00;1969-07;13.6;Y
1969-08-01 00:00:01;1969-09-01 00:00:00;1969-08;16.7;Y
1969-09-01 00:00:01;1969-10-01 00:00:00;1969-09;7.8;Y
1969-10-01 00:00:01;1969-11-01 00:00:00;1969-10;4.5;Y
1969-11-01 00:00:01;1969-12-01 00:00:00;1969-11;-4.1;Y
1969-12-01 00:00:01;1970-01-01 00:00:00;1969-12;-9.1;Y
1970-01-01 00:00:01;1970-02-01 00:00:00;1970-01;-12.6;Y
1970-02-01 00:00:01;1970-03-01 00:00:00;1970-02;-14.0;Y
1970-03-01 00:00:01;1970-04-01 00:00:00;1970-03;-4.0;Y
1970-04-01 00:00:01;1970-05-01 00:00:00;1970-04;-0.9;Y
1970-05-01 00:00:01;1970-06-01 00:00:00;1970-05;7.5;Y
1970-06-01 00:00:01;1970-07-01 00:00:00;1970-06;14.9;Y
1970-07-01 00:00:01;1970-08-01 00:00:00;1970-07;12.7;Y
1970-08-01 00:00:01;1970-09-01 00:00:00;1970-08;12.6;Y
1970-09-01 00:00:01;1970-10-01 00:00:00;1970-09;7.5;Y
1970-10-01 00:00:01;1970-11-01 00:00:00;1970-10;3.9;Y
1970-11-01 00:00:01;1970-12-01 00:00:00;1970-11;-4.2;Y
1970-12-01 00:00:01;1971-01-01 00:00:00;1970-12;-2.3;Y
1971-01-01 00:00:01;1971-02-01 00:00:00;1971-01;-4.3;Y
1971-02-01 00:00:01;1971-03-01 00:00:00;1971-02;-5.8;Y
1971-03-01 00:00:01;1971-04-01 00:00:00;1971-03;-7.0;Y
1971-04-01 00:00:01;1971-05-01 00:00:00;1971-04;0.3;Y
1971-05-01 00:00:01;1971-06-01 00:00:00;1971-05;7.2;Y
1971-06-01 00:00:01;1971-07-01 00:00:00;1971-06;10.4;Y
1971-07-01 00:00:01;1971-08-01 00:00:00;1971-07;13.1;Y
1971-08-01 00:00:01;1971-09-01 00:00:00;1971-08;12.1;Y
1971-09-01 00:00:01;1971-10-01 00:00:00;1971-09;7.8;Y
1971-10-01 00:00:01;1971-11-01 00:00:00;1971-10;3.4;Y
