﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Göteborg-Landvetter Flygplats;72420;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1977-11-01 00:00:00;1996-01-09 23:59:59;154.0;57.6678;12.2963
2008-02-01 00:00:00;2026-05-01 14:20:59;154.0;57.6764;12.2919

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1982-11-01 00:00:01;1982-12-01 00:00:00;1982-11;4.9;Y
1982-12-01 00:00:01;1983-01-01 00:00:00;1982-12;1.0;Y
1983-01-01 00:00:01;1983-02-01 00:00:00;1983-01;2.8;Y
1983-02-01 00:00:01;1983-03-01 00:00:00;1983-02;-3.4;Y
1983-03-01 00:00:01;1983-04-01 00:00:00;1983-03;1.7;Y
1983-04-01 00:00:01;1983-05-01 00:00:00;1983-04;5.7;Y
1983-05-01 00:00:01;1983-06-01 00:00:00;1983-05;10.3;Y
1983-06-01 00:00:01;1983-07-01 00:00:00;1983-06;13.6;Y
1983-07-01 00:00:01;1983-08-01 00:00:00;1983-07;17.0;Y
1983-08-01 00:00:01;1983-09-01 00:00:00;1983-08;16.0;Y
1983-09-01 00:00:01;1983-10-01 00:00:00;1983-09;11.8;Y
1983-10-01 00:00:01;1983-11-01 00:00:00;1983-10;8.0;Y
1983-11-01 00:00:01;1983-12-01 00:00:00;1983-11;2.2;Y
1983-12-01 00:00:01;1984-01-01 00:00:00;1983-12;0.0;Y
1984-01-01 00:00:01;1984-02-01 00:00:00;1984-01;-1.8;Y
1984-02-01 00:00:01;1984-03-01 00:00:00;1984-02;-1.5;Y
1984-03-01 00:00:01;1984-04-01 00:00:00;1984-03;-1.0;Y
1984-04-01 00:00:01;1984-05-01 00:00:00;1984-04;5.7;Y
1984-05-01 00:00:01;1984-06-01 00:00:00;1984-05;12.0;Y
1984-06-01 00:00:01;1984-07-01 00:00:00;1984-06;13.7;Y
1984-07-01 00:00:01;1984-08-01 00:00:00;1984-07;15.5;Y
1984-08-01 00:00:01;1984-09-01 00:00:00;1984-08;16.3;Y
1984-09-01 00:00:01;1984-10-01 00:00:00;1984-09;10.0;Y
1984-10-01 00:00:01;1984-11-01 00:00:00;1984-10;9.7;Y
1984-11-01 00:00:01;1984-12-01 00:00:00;1984-11;4.6;Y
1984-12-01 00:00:01;1985-01-01 00:00:00;1984-12;1.3;Y
1985-01-01 00:00:01;1985-02-01 00:00:00;1985-01;-7.9;Y
1985-02-01 00:00:01;1985-03-01 00:00:00;1985-02;-8.4;Y
1985-03-01 00:00:01;1985-04-01 00:00:00;1985-03;-0.2;Y
1985-04-01 00:00:01;1985-05-01 00:00:00;1985-04;2.6;Y
1985-05-01 00:00:01;1985-06-01 00:00:00;1985-05;11.3;Y
1985-06-01 00:00:01;1985-07-01 00:00:00;1985-06;13.1;Y
1985-07-01 00:00:01;1985-08-01 00:00:00;1985-07;15.5;Y
1985-08-01 00:00:01;1985-09-01 00:00:00;1985-08;14.6;Y
1985-09-01 00:00:01;1985-10-01 00:00:00;1985-09;9.9;Y
1985-10-01 00:00:01;1985-11-01 00:00:00;1985-10;9.0;Y
1985-11-01 00:00:01;1985-12-01 00:00:00;1985-11;-0.1;Y
1985-12-01 00:00:01;1986-01-01 00:00:00;1985-12;-0.9;Y
1986-01-01 00:00:01;1986-02-01 00:00:00;1986-01;-4.3;Y
1986-02-01 00:00:01;1986-03-01 00:00:00;1986-02;-7.4;Y
1986-03-01 00:00:01;1986-04-01 00:00:00;1986-03;0.6;Y
1986-04-01 00:00:01;1986-05-01 00:00:00;1986-04;2.9;Y
1986-05-01 00:00:01;1986-06-01 00:00:00;1986-05;11.1;Y
1986-06-01 00:00:01;1986-07-01 00:00:00;1986-06;15.0;Y
1986-07-01 00:00:01;1986-08-01 00:00:00;1986-07;15.4;Y
1986-08-01 00:00:01;1986-09-01 00:00:00;1986-08;13.5;Y
1986-09-01 00:00:01;1986-10-01 00:00:00;1986-09;8.9;Y
1986-10-01 00:00:01;1986-11-01 00:00:00;1986-10;7.6;Y
1986-11-01 00:00:01;1986-12-01 00:00:00;1986-11;5.6;Y
1986-12-01 00:00:01;1987-01-01 00:00:00;1986-12;-0.3;Y
1987-01-01 00:00:01;1987-02-01 00:00:00;1987-01;-9.6;Y
1987-02-01 00:00:01;1987-03-01 00:00:00;1987-02;-2.5;Y
1987-03-01 00:00:01;1987-04-01 00:00:00;1987-03;-3.4;Y
1987-04-01 00:00:01;1987-05-01 00:00:00;1987-04;5.6;Y
1987-05-01 00:00:01;1987-06-01 00:00:00;1987-05;8.7;Y
1987-06-01 00:00:01;1987-07-01 00:00:00;1987-06;11.0;Y
1987-07-01 00:00:01;1987-08-01 00:00:00;1987-07;14.7;Y
1987-08-01 00:00:01;1987-09-01 00:00:00;1987-08;13.0;Y
1987-09-01 00:00:01;1987-10-01 00:00:00;1987-09;10.7;Y
1987-10-01 00:00:01;1987-11-01 00:00:00;1987-10;8.2;Y
1987-11-01 00:00:01;1987-12-01 00:00:00;1987-11;2.6;Y
1987-12-01 00:00:01;1988-01-01 00:00:00;1987-12;1.1;Y
1988-01-01 00:00:01;1988-02-01 00:00:00;1988-01;1.8;Y
1988-02-01 00:00:01;1988-03-01 00:00:00;1988-02;0.2;Y
1988-03-01 00:00:01;1988-04-01 00:00:00;1988-03;-0.9;Y
1988-04-01 00:00:01;1988-05-01 00:00:00;1988-04;4.0;Y
1988-05-01 00:00:01;1988-06-01 00:00:00;1988-05;12.5;Y
1988-06-01 00:00:01;1988-07-01 00:00:00;1988-06;16.8;Y
1988-07-01 00:00:01;1988-08-01 00:00:00;1988-07;15.5;Y
1988-08-01 00:00:01;1988-09-01 00:00:00;1988-08;14.6;Y
1988-09-01 00:00:01;1988-10-01 00:00:00;1988-09;12.4;Y
1988-10-01 00:00:01;1988-11-01 00:00:00;1988-10;6.4;Y
1988-11-01 00:00:01;1988-12-01 00:00:00;1988-11;0.7;Y
