﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Stockholm-Observatoriekullen A;98230;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1996-11-01 00:00:00;2026-05-01 14:20:59;43.133;59.3417;18.0549

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2002-01-01 00:00:01;2002-02-01 00:00:00;2002-01;-0.4;Y
2002-02-01 00:00:01;2002-03-01 00:00:00;2002-02;1.7;Y
2002-03-01 00:00:01;2002-04-01 00:00:00;2002-03;2.5;Y
2002-04-01 00:00:01;2002-05-01 00:00:00;2002-04;7.2;Y
2002-05-01 00:00:01;2002-06-01 00:00:00;2002-05;12.5;Y
2002-06-01 00:00:01;2002-07-01 00:00:00;2002-06;17.3;Y
2002-07-01 00:00:01;2002-08-01 00:00:00;2002-07;19.1;Y
2002-08-01 00:00:01;2002-09-01 00:00:00;2002-08;21.2;Y
2002-09-01 00:00:01;2002-10-01 00:00:00;2002-09;13.5;Y
2002-10-01 00:00:01;2002-11-01 00:00:00;2002-10;4.0;Y
2002-11-01 00:00:01;2002-12-01 00:00:00;2002-11;0.9;Y
2002-12-01 00:00:01;2003-01-01 00:00:00;2002-12;-3.4;Y
2003-01-01 00:00:01;2003-02-01 00:00:00;2003-01;-3.2;Y
2003-02-01 00:00:01;2003-03-01 00:00:00;2003-02;-3.2;Y
2003-03-01 00:00:01;2003-04-01 00:00:00;2003-03;3.3;Y
2003-04-01 00:00:01;2003-05-01 00:00:00;2003-04;4.5;Y
2003-05-01 00:00:01;2003-06-01 00:00:00;2003-05;11.5;Y
2003-06-01 00:00:01;2003-07-01 00:00:00;2003-06;15.9;Y
2003-07-01 00:00:01;2003-08-01 00:00:00;2003-07;20.4;Y
2003-08-01 00:00:01;2003-09-01 00:00:00;2003-08;17.5;Y
2003-09-01 00:00:01;2003-10-01 00:00:00;2003-09;13.5;Y
2003-10-01 00:00:01;2003-11-01 00:00:00;2003-10;5.2;Y
2003-11-01 00:00:01;2003-12-01 00:00:00;2003-11;4.6;Y
2003-12-01 00:00:01;2004-01-01 00:00:00;2003-12;1.6;Y
2004-01-01 00:00:01;2004-02-01 00:00:00;2004-01;-2.8;Y
2004-02-01 00:00:01;2004-03-01 00:00:00;2004-02;-0.7;Y
2004-03-01 00:00:01;2004-04-01 00:00:00;2004-03;1.8;Y
2004-04-01 00:00:01;2004-05-01 00:00:00;2004-04;6.9;Y
2004-05-01 00:00:01;2004-06-01 00:00:00;2004-05;10.8;Y
2004-06-01 00:00:01;2004-07-01 00:00:00;2004-06;14.4;Y
2004-07-01 00:00:01;2004-08-01 00:00:00;2004-07;16.8;Y
2004-08-01 00:00:01;2004-09-01 00:00:00;2004-08;18.4;Y
2004-09-01 00:00:01;2004-10-01 00:00:00;2004-09;13.5;Y
2004-10-01 00:00:01;2004-11-01 00:00:00;2004-10;7.8;Y
2004-11-01 00:00:01;2004-12-01 00:00:00;2004-11;1.9;Y
2004-12-01 00:00:01;2005-01-01 00:00:00;2004-12;1.6;Y
2005-01-01 00:00:01;2005-02-01 00:00:00;2005-01;1.3;Y
2005-02-01 00:00:01;2005-03-01 00:00:00;2005-02;-1.7;Y
2005-03-01 00:00:01;2005-04-01 00:00:00;2005-03;-1.4;Y
2005-04-01 00:00:01;2005-05-01 00:00:00;2005-04;6.9;Y
2005-05-01 00:00:01;2005-06-01 00:00:00;2005-05;10.8;Y
2005-06-01 00:00:01;2005-07-01 00:00:00;2005-06;14.9;Y
2005-07-01 00:00:01;2005-08-01 00:00:00;2005-07;19.2;Y
2005-08-01 00:00:01;2005-09-01 00:00:00;2005-08;16.9;Y
2005-09-01 00:00:01;2005-10-01 00:00:00;2005-09;13.8;Y
2005-10-01 00:00:01;2005-11-01 00:00:00;2005-10;9.0;Y
2005-11-01 00:00:01;2005-12-01 00:00:00;2005-11;4.5;Y
2005-12-01 00:00:01;2006-01-01 00:00:00;2005-12;0.2;Y
2006-01-01 00:00:01;2006-02-01 00:00:00;2006-01;-2.2;Y
2006-02-01 00:00:01;2006-03-01 00:00:00;2006-02;-2.6;Y
2006-03-01 00:00:01;2006-04-01 00:00:00;2006-03;-2.9;Y
2006-04-01 00:00:01;2006-05-01 00:00:00;2006-04;5.4;Y
2006-05-01 00:00:01;2006-06-01 00:00:00;2006-05;11.4;Y
2006-06-01 00:00:01;2006-07-01 00:00:00;2006-06;16.9;Y
2006-07-01 00:00:01;2006-08-01 00:00:00;2006-07;20.7;Y
2006-08-01 00:00:01;2006-09-01 00:00:00;2006-08;19.2;Y
2006-09-01 00:00:01;2006-10-01 00:00:00;2006-09;15.6;Y
2006-10-01 00:00:01;2006-11-01 00:00:00;2006-10;9.9;Y
2006-11-01 00:00:01;2006-12-01 00:00:00;2006-11;5.0;Y
2006-12-01 00:00:01;2007-01-01 00:00:00;2006-12;4.9;Y
2007-01-01 00:00:01;2007-02-01 00:00:00;2007-01;0.5;Y
2007-02-01 00:00:01;2007-03-01 00:00:00;2007-02;-2.7;Y
2007-03-01 00:00:01;2007-04-01 00:00:00;2007-03;4.8;Y
2007-04-01 00:00:01;2007-05-01 00:00:00;2007-04;8.2;Y
2007-05-01 00:00:01;2007-06-01 00:00:00;2007-05;11.5;Y
2007-06-01 00:00:01;2007-07-01 00:00:00;2007-06;16.7;Y
2007-07-01 00:00:01;2007-08-01 00:00:00;2007-07;17.1;Y
2007-08-01 00:00:01;2007-09-01 00:00:00;2007-08;17.9;Y
2007-09-01 00:00:01;2007-10-01 00:00:00;2007-09;12.3;Y
