﻿Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Umeå Flygplats;140480;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medel, 1 gång per månad;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1965-02-01 00:00:00;1981-07-06 23:59:59;7.0;63.7947;20.2918
1981-08-01 00:00:00;2026-05-01 14:20:59;7.31;63.7931;20.2800

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet;;Tidsutsnitt:
1967-06-01 00:00:01;1967-07-01 00:00:00;1967-06;12.3;Y
1967-07-01 00:00:01;1967-08-01 00:00:00;1967-07;14.9;Y
1967-08-01 00:00:01;1967-09-01 00:00:00;1967-08;14.1;Y
1967-09-01 00:00:01;1967-10-01 00:00:00;1967-09;10.9;Y
1967-10-01 00:00:01;1967-11-01 00:00:00;1967-10;4.7;Y
1967-11-01 00:00:01;1967-12-01 00:00:00;1967-11;2.0;Y
1967-12-01 00:00:01;1968-01-01 00:00:00;1967-12;-12.2;Y
1968-01-01 00:00:01;1968-02-01 00:00:00;1968-01;-13.5;Y
1968-02-01 00:00:01;1968-03-01 00:00:00;1968-02;-10.7;Y
1968-03-01 00:00:01;1968-04-01 00:00:00;1968-03;-2.7;Y
1968-04-01 00:00:01;1968-05-01 00:00:00;1968-04;3.4;Y
1968-05-01 00:00:01;1968-06-01 00:00:00;1968-05;5.4;Y
1968-06-01 00:00:01;1968-07-01 00:00:00;1968-06;14.2;Y
1968-07-01 00:00:01;1968-08-01 00:00:00;1968-07;14.7;Y
1968-08-01 00:00:01;1968-09-01 00:00:00;1968-08;13.8;Y
1968-09-01 00:00:01;1968-10-01 00:00:00;1968-09;8.4;Y
1968-10-01 00:00:01;1968-11-01 00:00:00;1968-10;-0.5;Y
1968-11-01 00:00:01;1968-12-01 00:00:00;1968-11;-6.6;Y
1968-12-01 00:00:01;1969-01-01 00:00:00;1968-12;-2.3;Y
1969-01-01 00:00:01;1969-02-01 00:00:00;1969-01;-8.8;Y
1969-02-01 00:00:01;1969-03-01 00:00:00;1969-02;-13.7;Y
1969-03-01 00:00:01;1969-04-01 00:00:00;1969-03;-6.3;Y
1969-04-01 00:00:01;1969-05-01 00:00:00;1969-04;0.9;Y
1969-05-01 00:00:01;1969-06-01 00:00:00;1969-05;6.1;Y
1969-06-01 00:00:01;1969-07-01 00:00:00;1969-06;14.5;Y
1969-07-01 00:00:01;1969-08-01 00:00:00;1969-07;15.5;Y
